gene,ss&rd_RNA,IVT_neg,type,length
dnaA,69.13978237947143,97.40201653981025,mRNA,1362
dnaN,84.47264234704075,102.78010974331224,mRNA,1134
yaaA,419.09814680777583,774.2442175369202,mRNA,246
recF,134.20533648228286,244.34516655957248,mRNA,1113
gyrB,33.98217531706338,118.99872944302267,mRNA,1935
gyrA,103.3748237901512,89.43475046778983,mRNA,2670
MTX75_00035,38.942263227221055,32.63506679636446,mRNA,813
hutH,1.0716784295076829,8.131070744242718,mRNA,1515
serS,102.18416354081997,41.96752221140875,mRNA,1287
MTX75_00050,19.828360597679865,4.084407220665688,mRNA,696
MTX75_00055,51.659771567858975,8.61438613813127,mRNA,330
MTX75_00060,12.566507900186837,23.46953498933597,mRNA,969
MTX75_00065,28.529586306302768,305.769424902998,mRNA,939
gdpP,65.17471180672105,253.74794940420207,mRNA,1968
rplI,277.8632008587621,752.5543147517363,mRNA,447
dnaB,136.16856276426577,236.72652842116622,mRNA,1401
MTX75_00085,82.19122534717215,31.73368102286675,mRNA,1284
yycF,12.720456572468327,28.346484300688367,mRNA,702
walK,19.10631945546743,35.787187076308896,mRNA,1827
yycH,21.283051956795838,35.489980344361044,mRNA,1335
yycI,49.38685386172287,97.28033015304135,mRNA,789
MTX75_00120,25.336966615233134,17.744990172180522,mRNA,801
adsA,4.900883891733064,6.946486450325777,mRNA,2319
rlmH,40.58982051760348,116.47367924264988,mRNA,480
MTX75_00140,78.56094293729706,315.86082506481324,mRNA,93
MTX75_00145,30.68646224698545,60.24149756390767,mRNA,1746
MTX75_00160,5.3690238779898785,10.027327779835343,mRNA,756
cstR,3.1103310741458605,10.891752588441836,mRNA,261
cstB,0.6080871987655952,4.968597248210545,mRNA,1335
sqr,21.0767912235462,11.904302452191454,mRNA,1194
MTX75_00185,43.59190450725399,64.32424097064586,mRNA,987
MTX75_00190,39.79394168392498,111.48029119934584,mRNA,204
MTX75_00195,21.866569975813324,89.33437476580578,mRNA,297
MTX75_00200,64.62060977926922,44.000512944352096,mRNA,603
MTX75_00205,4.1194870173273435,12.922945269064671,mRNA,3153
MTX75_00210,23.5303307348426,58.85605435990309,mRNA,483
MTX75_00215,5.7574213500146785,4.800316490346706,mRNA,987
MTX75_00220,3.158740896311555,2.4580608954460175,mRNA,771
MTX75_00225,2.1058272642077034,4.916121790892035,mRNA,771
MTX75_00230,8.342858551428776,3.3872474537781576,mRNA,2238
